Name,Type,Category,Power,Accuracy,PP,Short-Effect,Full-Effect
Aurora Beam,Ice,Special,65,100,20,May lower opponent's Attack.,The target is hit with a rainbow-colored beam. This may also lower the target’s Attack stat.
Aurora Veil,Ice,Status,—,—,20,Halves damage from Physical and Special attacks for five turns.,This move reduces damage from physical and special moves for five turns. This can be used only when it is snowing.
Autotomize,Steel,Status,—,—,15,Reduces weight and sharply raises Speed.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Avalanche,Ice,Physical,60,100,10,Power doubles if user took damage first.,This move’s power is doubled if the target has inflicted damage on the user in the same turn.
Axe Kick,Fighting,Physical,120,90,10,"May confuse opponent. If it misses, the user loses HP.","The user attacks by kicking up into the air and slamming its heel down upon the target. This may also confuse the target. If it misses, the user takes damage instead."
Baby-Doll Eyes,Fairy,Status,—,100,30,Always goes first. Lowers the target's attack.,"The user stares at the target with its baby-doll eyes, which lowers the target’s Attack stat. This move always goes first."
Baddy Bad,Dark,Special,90,100,15,Reduces damage from Physical attacks.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Baneful Bunker,Poison,Status,—,—,10,Protects the user and poisons opponent on contact.,"In addition to protecting the user from attacks, this move also poisons any attacker that makes direct contact."
Barb Barrage,Poison,Physical,60,100,10,May poison opponent; inflicts double damage if the target is already poisoned.,The user launches countless toxic barbs to inflict damage. This may also poison the target. This move’s power is doubled if the target is already poisoned.
Barrage,Normal,Physical,15,85,20,Hits 2-5 times in one turn.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Barrier,Psychic,Status,—,—,20,Sharply raises user's Defense.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Baton Pass,Normal,Status,—,—,40,User switches out and gives stat changes to the incoming Pokémon.,The user switches places with a party Pokémon in waiting and passes along any stat changes.
Beak Blast,Flying,Physical,100,100,15,"The user first heats up its beak, and then it attacks the target. Making direct contact with the Pokémon while it's heating up its beak results in a burn.","The user first heats up its beak, and then it attacks the target. Making direct contact with the user while it’s heating up its beak results in a burn."
Beat Up,Dark,Physical,—,100,10,Each Pokémon in user's party attacks.,"The user gets all party Pokémon to attack the target. The more party Pokémon, the greater the number of attacks."
Behemoth Bash,Steel,Physical,100,100,5,Damage doubles if target is Dynamaxed.,The user becomes a gigantic shield and slams into the target. This move inflicts twice the damage if the target is Dynamaxed.
Behemoth Blade,Steel,Physical,100,100,5,Damage doubles if target is Dynamaxed.,The user becomes a gigantic sword and cuts the target. This move inflicts twice the damage if the target is Dynamaxed.
Belch,Poison,Special,120,90,10,User must have consumed a Berry.,The user lets out a damaging belch at the target. The user must eat a held Berry to use this move.
Belly Drum,Normal,Status,—,—,10,"User loses 50% of its max HP, but Attack raises to maximum.",The user maximizes its Attack stat but loses HP equal to half its max HP.
Bestow,Normal,Status,—,—,15,Gives the user's held item to the target.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Bide,Normal,Physical,—,—,10,User takes damage for two turns then strikes back double.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Bind,Normal,Physical,15,85,20,"Traps opponent, damaging them for 4-5 turns.","A long body, tentacles, or the like are used to bind and squeeze the target for four to five turns."
Bite,Dark,Physical,60,100,25,May cause flinching.,The target is bitten with viciously sharp fangs. This may also make the target flinch.
Bitter Blade,Fire,Physical,90,100,10,User recovers half the HP inflicted on opponent.,The user focuses its bitter feelings toward the world of the living into a slashing attack. The user’s HP is restored by up to half the damage taken by the target.
Bitter Malice,Ghost,Special,75,100,10,Lowers opponent's Attack.,The user attacks the target with spine-chilling resentment. This also lowers the target’s Attack stat.
Black Hole Eclipse,Dark,None,—,—,1,Dark type Z-Move.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Blast Burn,Fire,Special,150,90,5,User must recharge next turn.,The target is razed by a fiery explosion. The user can’t move on the next turn.
Blaze Kick,Fire,Physical,85,90,10,High critical hit ratio. May burn opponent.,The user launches a kick that has a heightened chance of landing a critical hit. This may also leave the target with a burn.
Blazing Torque,Fire,Physical,80,100,10,May burn the opponent.,Blazing Torque deals damage and has a 30% chance of burning the target.
Bleakwind Storm,Flying,Special,100,80,10,May lower opponent's Speed.,The user attacks with savagely cold winds that cause both body and spirit to tremble. This may also lower the Speed stats of opposing Pokémon.
Blizzard,Ice,Special,110,70,5,May freeze opponent.,A howling blizzard is summoned to strike opposing Pokémon. This may also leave the opposing Pokémon frozen.
Block,Normal,Status,—,—,5,Opponent cannot flee or switch.,The user blocks the target’s way with arms spread wide to prevent the target from fleeing.
Blood Moon,Normal,Special,140,100,5,Cannot be used twice in a row.,The user unleashes the full brunt of its spirit from a full moon that shines as red as blood. This move can't be used twice in a row.
Bloom Doom,Grass,None,—,—,1,Grass type Z-Move.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Blue Flare,Fire,Special,130,85,5,May burn opponent.,"The user attacks by engulfing the target in an intense, yet beautiful, blue flame. This may also leave the target with a burn."
Body Press,Fighting,Physical,80,100,10,"The higher the user's Defense, the stronger the attack.","The user attacks by slamming its body into the target. The higher the user’s Defense stat, the greater the damage this move deals."
Body Slam,Normal,Physical,85,100,15,May paralyze opponent.,The user attacks by dropping onto the target with its full body weight. This may also leave the target with paralysis.
Bolt Beak,Electric,Physical,85,100,10,"If the user attacks before the target, the power of this move is doubled.",The user stabs the target with its electrified beak. This move’s power is doubled if the user moves before the target.
Bolt Strike,Electric,Physical,130,85,5,May paralyze opponent.,The user surrounds itself with a great amount of electricity and charges the target. This may also leave the target with paralysis.
Bone Club,Ground,Physical,65,85,20,May cause flinching.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Bone Rush,Ground,Physical,25,90,10,Hits 2-5 times in one turn.,The user attacks by striking the target with a hard bone. This move hits two to five times in a row.
Bonemerang,Ground,Physical,50,90,10,Hits twice in one turn.,The user throws the bone it holds. The bone loops around to damage the target twice—coming and going.
Boomburst,Normal,Special,140,100,10,Hits all adjacent Pokémon.,The user attacks everything around it with the destructive power of a terrible explosive sound.
Bounce,Flying,Physical,85,85,5,"Springs up on first turn, attacks on second. May paralyze opponent.","The user bounces up high on the first turn, then drops onto the target on the next turn. This may also leave the target with paralysis."
Bouncy Bubble,Water,Special,90,100,15,User recovers half the HP inflicted on opponent.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Branch Poke,Grass,Physical,40,100,40,,The user attacks the target by poking it with a sharply pointed branch.
Brave Bird,Flying,Physical,120,100,15,User receives recoil damage.,The user tucks in its wings and charges at a low altitude. This also damages the user quite a lot.
Breaking Swipe,Dragon,Physical,60,100,15,Hits multiple opponents and lowers their attack.,The user swings its tough tail wildly and attacks opposing Pokémon. This also lowers their Attack stats.
Breakneck Blitz,Normal,None,—,—,1,Normal type Z-Move.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Brick Break,Fighting,Physical,75,100,15,Breaks through Reflect and Light Screen barriers.,"The user attacks with a swift chop. This move can also break barriers, such as Light Screen and Reflect."
Brine,Water,Special,65,100,10,Power doubles if opponent's HP is less than 50%.,This move’s power is doubled if the target’s HP is at half or less.
Brutal Swing,Dark,Physical,60,100,20,The user swings its body around violently to inflict damage on everything in its vicinity.,The user swings its body around violently to inflict damage on everything in its vicinity.
Bubble,Water,Special,40,100,30,May lower opponent's Speed.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Bubble Beam,Water,Special,65,100,20,May lower opponent's Speed.,A spray of bubbles is forcefully ejected at the target. This may also lower the target’s Speed stat.
Bug Bite,Bug,Physical,60,100,20,Receives the effect from the opponent's held berry.,"The user attacks by biting the target. If the target is holding a Berry, the user eats it and gains its effect."
Bug Buzz,Bug,Special,90,100,10,May lower opponent's Special Defense.,The user vibrates to generate a damaging sound wave. This may also lower the target’s Sp. Def stat.
Bulk Up,Fighting,Status,—,—,20,Raises user's Attack and Defense.,"The user tenses its muscles to bulk up its body, boosting its Attack and Defense stats."
Bulldoze,Ground,Physical,60,100,20,Lowers opponent's Speed.,The user strikes everything around it by stomping down on the ground. This lowers the Speed stats of those hit.
Bullet Punch,Steel,Physical,40,100,30,User attacks first.,The user strikes the target with tough punches as fast as bullets. This move always goes first.
Bullet Seed,Grass,Physical,25,100,30,Hits 2-5 times in one turn.,The user attacks by forcefully shooting seeds at the target. This move hits two to five times in a row.
Burn Up,Fire,Special,130,100,5,"To inflict massive damage, the user burns itself out. After using this move, the user will no longer be Fire type.","To inflict massive damage, the user burns itself out. After using this move, the user will no longer be Fire type."
Burning Bulwark,Fire,Status,—,∞,10,,The user’s intensely hot fur protects it from attacks and also burns any attacker that makes direct contact with it.
Burning Jealousy,Fire,Special,70,100,5,"Hits all opponents, and burns any that have had their stats boosted.",The user attacks with energy from jealousy. This leaves all opposing Pokémon that have had their stats boosted during the turn with a burn.
Buzzy Buzz,Electric,Special,90,100,15,Paralyzes the opponent.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Calm Mind,Psychic,Status,—,—,20,Raises user's Special Attack and Special Defense.,The user quietly focuses its mind and calms its spirit to boost its Sp. Atk and Sp. Def stats.
Camouflage,Normal,Status,—,—,20,Changes user's type according to the location.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Captivate,Normal,Status,—,100,20,Sharply lowers opponent's Special Attack if opposite gender.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Catastropika,Electric,Physical,210,—,1,Pikachu-exclusive Z-Move.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Ceaseless Edge,Dark,Physical,65,90,15,Sets up Spikes.,"The user slashes its shell blade at the target, aiming to land a critical hit. Shell splinters left behind by this attack remain scattered under the target as spikes."
Celebrate,Normal,Status,—,—,40,The Pokémon congratulates you on your special day. No battle effect.,The Pokémon congratulates you on your special day!
Charge,Electric,Status,—,—,20,Raises user's Special Defense and next Electric move's power increases.,"The user becomes charged, boosting the power of the next Electric-type move it uses. This also boosts the user’s Sp. Def stat."
Charge Beam,Electric,Special,50,90,10,May raise user's Special Attack.,The user attacks the target with an electric charge. The residual electricity may also boost the user’s Sp. Atk stat.
Charm,Fairy,Status,—,100,20,Sharply lowers opponent's Attack.,"The user gazes at the target rather charmingly, making it less wary. This harshly lowers the target’s Attack stat."
Chatter,Flying,Special,65,100,20,Confuses opponent.,The user attacks the target with sound waves of deafening chatter. This also confuses the target.
Chilling Water,Water,Special,50,100,20,Lowers opponent's Attack.,The user attacks the target by showering it with water that’s so cold it saps the target’s power. This also lowers the target’s Attack stat.
Chilly Reception,Ice,Status,—,—,10,Switches out and summons a snowstorm lasting 5 turns.,The user tells a chillingly bad joke before switching places with a party Pokémon in waiting. This summons a snowstorm lasting five turns.
Chip Away,Normal,Physical,70,100,20,Ignores opponent's stat changes.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Chloroblast,Grass,Special,150,95,5,User receives recoil damage.,The user launches its amassed chlorophyll to inflict damage on the target. This also damages the user.
Circle Throw,Fighting,Physical,60,90,10,"In battles, the opponent switches. In the wild, the Pokémon runs.","The target is thrown, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon."
Clamp,Water,Physical,35,85,15,"Traps opponent, damaging them for 4-5 turns.","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Clanging Scales,Dragon,Special,110,100,5,Lowers user's Defense.,The user rubs the scales on its entire body and makes a huge noise to attack opposing Pokémon. The user’s Defense stat is lowered after the attack.
Clangorous Soul,Dragon,Status,—,100,5,Raises all user's stats but loses HP.,The user boosts all its stats by using some of its own HP.
Clangorous Soulblaze,Dragon,Special,185,—,1,Kommo-o exclusive Z-Move.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Clear Smog,Poison,Special,50,—,15,Removes all of the target's stat changes.,The user attacks the target by throwing a clump of special mud. All stat changes are eliminated.
Close Combat,Fighting,Physical,120,100,5,Lowers user's Defense and Special Defense.,"The user fights the target up close, inflicting damage without guarding itself. This also lowers the user’s Defense and Sp. Def stats."
Coaching,Fighting,Status,—,—,10,Boosts Attack and Defense of a teammate.,"The user properly coaches its ally Pokémon, boosting their Attack and Defense stats."
Coil,Poison,Status,—,—,20,"Raises user's Attack, Defense and Accuracy.",The user coils up and concentrates. This boosts its Attack and Defense stats as well as its accuracy.
Collision Course,Fighting,Physical,100,100,5,Boosted even more if it's super-effective.,"The user transforms and crashes to the ground, causing a massive prehistoric explosion. This move’s power is boosted more than usual if it’s a supereffective hit."
Combat Torque,Fighting,Physical,100,100,10,May paralyze the opponent.,Combat Torque deals damage and has a 30% chance of paralyzing the target.
Comet Punch,Normal,Physical,18,85,15,Hits 2-5 times in one turn.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Comeuppance,Dark,Physical,—,100,10,Deals more damage to the opponent that last inflicted damage on it.,The user retaliates with much greater force against the opponent that last inflicted damage on it.
Confide,Normal,Status,—,—,20,Lowers opponent's Special Attack.,"The user tells the target a secret, and the target loses its ability to concentrate. This lowers the target’s Sp. Atk stat."
Confuse Ray,Ghost,Status,—,100,10,Confuses opponent.,The target is exposed to a sinister ray that causes confusion.
Confusion,Psychic,Special,50,100,25,May confuse opponent.,The target is hit with a weak telekinetic force to inflict damage. This may also confuse the target.
Constrict,Normal,Physical,10,100,35,May lower opponent's Speed by one stage.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Continental Crush,Rock,None,—,—,1,Rock type Z-Move.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Conversion,Normal,Status,—,—,30,Changes user's type to that of its first move.,The user changes its type to become the same type as the move at the top of the list of moves it knows.
Conversion 2,Normal,Status,—,—,30,User changes type to become resistant to opponent's last move.,The user changes its type to make itself resistant to the type of the move the target used last.
Copycat,Normal,Status,—,—,20,Copies opponent's last move.,The user mimics the move used immediately before it. This move fails if no other move has been used yet.
Core Enforcer,Dragon,Special,100,100,10,Suppresses the target's ability if the target has already moved.,"If the Pokémon damaged by this move have already used their moves that turn, this move eliminates the effects of those Pokémon’s Abilities."
Corkscrew Crash,Steel,None,—,—,1,Steel type Z-Move.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Corrosive Gas,Poison,Status,—,100,40,Removes opponent's items.,The user surrounds everything around it with highly acidic gas and melts away items held by other Pokémon.
Cosmic Power,Psychic,Status,—,—,20,Raises user's Defense and Special Defense.,The user absorbs a mystical power from space to boost its Defense and Sp. Def stats.
Cotton Guard,Grass,Status,—,—,10,Drastically raises user's Defense.,"The user protects itself by wrapping its body in soft cotton, drastically boosting its Defense stat."
Cotton Spore,Grass,Status,—,100,40,Sharply lowers opponent's Speed.,The user releases cotton-like spores that cling to opposing Pokémon. This harshly lowers their Speed stats.
Counter,Fighting,Physical,—,100,20,"When hit by a Physical Attack, user strikes back with 2x power.","A retaliatory attack that counters any physical move, inflicting double the damage taken."
Court Change,Normal,Status,—,100,10,Swaps the effects on either side of the field.,"With its mysterious power, the user swaps the effects on either side of the field."
Covet,Normal,Physical,60,100,25,Opponent's item is stolen by the user.,"The user endearingly approaches the target, then steals the target’s held item."
Crabhammer,Water,Physical,100,90,10,High critical hit ratio.,The target is hammered with a large pincer. This move has a heightened chance of landing a critical hit.
Crafty Shield,Fairy,Status,—,—,10,Protects the Pokémon from status moves.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Cross Chop,Fighting,Physical,100,80,5,High critical hit ratio.,The user delivers a double chop with its forearms crossed. This move has a heightened chance of landing a critical hit.
Cross Poison,Poison,Physical,70,100,20,High critical hit ratio. May poison opponent.,A slashing attack with a poisonous blade that may also poison the target. This move has a heightened chance of landing a critical hit.
Crunch,Dark,Physical,80,100,15,May lower opponent's Defense.,The user crunches up the target with sharp fangs. This may also lower the target’s Defense stat.
Crush Claw,Normal,Physical,75,95,10,May lower opponent's Defense.,The user slashes the target with hard and sharp claws. This may also lower the target’s Defense stat.
Crush Grip,Normal,Physical,—,100,5,More powerful when opponent has higher HP.,"The target is crushed with great force. The more HP the target has left, the greater the move’s power."
Curse,Ghost,Status,—,—,10,"Ghosts lose 50% of max HP and curse the opponent; Non-Ghosts raise Attack, Defense and lower Speed.",A move that has different effects depending on whether the user is a Ghost type or not.
Cut,Normal,Physical,50,95,30,,"The target is cut with a scythe, a claw, or the like to inflict damage."
Dark Pulse,Dark,Special,80,100,15,May cause flinching.,The user releases a horrible aura imbued with ill intent. This may also make the target flinch.
Dark Void,Dark,Status,—,50,10,Puts all adjacent opponents to sleep.,Opposing Pokémon are dragged into a world of total darkness that puts them to sleep.
Darkest Lariat,Dark,Physical,85,100,10,Ignores opponent's stat changes.,The user swings both arms and hits the target. The target’s stat changes don’t affect the damage inflicted by this move.
Dazzling Gleam,Fairy,Special,80,100,10,Hits all adjacent opponents.,The user damages opposing Pokémon by emitting a powerful flash.
Decorate,Fairy,Status,—,—,15,Sharply raises target's Attack and Special Attack.,The user sharply boosts the target’s Attack and Sp. Atk stats by decorating the target.
Defend Order,Bug,Status,—,—,10,Raises user's Defense and Special Defense.,"The user calls out its underlings to shield its body, boosting its Defense and Sp. Def stats."
Defense Curl,Normal,Status,—,—,40,Raises user's Defense.,The user curls up and boosts its Defense stat.
Defog,Flying,Status,—,—,15,Lowers opponent's Evasiveness and clears fog.,A strong wind blows away the target’s barriers such as Reflect or Light Screen. This also lowers the target’s evasiveness.
Destiny Bond,Ghost,Status,—,—,5,"If the user faints, the opponent also faints.","If the user is knocked out after using this move, the Pokémon that knocked it out will also faint. This move’s chance of failing rises if it is used in succession."
Detect,Fighting,Status,—,—,5,"Protects the user, but may fail if used consecutively.",This move enables the user to protect itself from all attacks. Its chance of failing rises if it is used in succession.
Devastating Drake,Dragon,None,—,—,1,Dragon type Z-Move.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Diamond Storm,Rock,Physical,100,95,5,May sharply raise user's Defense.,The user whips up a storm of diamonds to damage opposing Pokémon. This may also sharply boost the user’s Defense stat.
Dig,Ground,Physical,80,100,10,"Digs underground on first turn, attacks on second. Can also escape from caves.","The user burrows into the ground on the first turn, then attacks on the next turn."
Dire Claw,Poison,Physical,80,100,15,"May poison, paralyze or put the opponent to sleep.","The user lashes out at the target with ruinous claws, aiming to land a critical hit. This may also leave the target poisoned, paralyzed, or asleep."
Disable,Normal,Status,—,100,20,Opponent can't use its last attack for a few turns.,"For four turns, the target will be unable to use whichever move it last used."
Disarming Voice,Fairy,Special,40,∞,15,Ignores Accuracy and Evasiveness.,"Letting out a charming cry, the user does emotional damage to opposing Pokémon. This attack never misses."
Discharge,Electric,Special,80,100,15,May paralyze opponent.,The user strikes everything around it by letting loose a flare of electricity. This may also leave those hit by the attack with paralysis.
Dive,Water,Physical,80,100,10,"Dives underwater on first turn, attacks on second turn.","The user dives on the first turn, then floats up and attacks on the next turn."
Dizzy Punch,Normal,Physical,70,100,10,May confuse opponent.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Doodle,Normal,Status,—,100,10,Changes the abilities of the user and its teammates to that of the target.,The user captures the very essence of the target in a sketch. This changes the Abilities of the user and its ally Pokémon to that of the target.
Doom Desire,Steel,Special,140,100,5,Damage occurs 2 turns later.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Double Hit,Normal,Physical,35,90,10,Hits twice in one turn.,The user slams the target with a tail or the like. The target is hit twice in a row.
Double Iron Bash,Steel,Physical,60,100,5,Hits twice in one turn; may cause flinching.,"The user uses the hex nut in its chest as an axis to spin, striking the target with its arms twice in a row. This may also make the target flinch."
Double Kick,Fighting,Physical,30,100,30,Hits twice in one turn.,The user attacks by kicking the target twice in a row using two feet.
Double Shock,Electric,Physical,120,100,5,"After using this move, the user will no longer be Electric type.","The user discharges all the electricity from its body to perform a high-damage attack. After using this move, the user will no longer be Electric type."
Double Slap,Normal,Physical,15,85,10,Hits 2-5 times in one turn.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Double Team,Normal,Status,—,—,15,Raises user's Evasiveness.,"By moving rapidly, the user makes illusory copies of itself to boost its evasiveness."
Double-Edge,Normal,Physical,120,100,15,User receives recoil damage.,A reckless life-risking tackle in which the user rushes the target. This also damages the user quite a lot.
Draco Meteor,Dragon,Special,130,90,5,Sharply lowers user's Special Attack.,Comets are summoned down from the sky onto the target. The recoil from this move harshly lowers the user’s Sp. Atk stat.
Dragon Ascent,Flying,Physical,120,100,5,Lowers user's Defense and Special Defense.,The user attacks the target by dropping out of the sky at high speed. This also lowers the user’s Defense and Sp. Def stats.
Dragon Breath,Dragon,Special,60,100,20,May paralyze opponent.,The user exhales a mighty gust that inflicts damage. This may also leave the target with paralysis.
Dragon Cheer,Dragon,Status,—,∞,15,,TM226
Dragon Claw,Dragon,Physical,80,100,15,,"The user slashes the target with huge, sharp claws to inflict damage."
Dragon Dance,Dragon,Status,—,—,20,Raises user's Attack and Speed.,"The user vigorously performs a mystic, powerful dance that boosts its Attack and Speed stats."
Dragon Darts,Dragon,Physical,50,100,10,User attacks twice.,"The user attacks twice using Dreepy. If there are two opposing Pokémon, this move hits each of them once."
Dragon Energy,Dragon,Special,150,100,5,"The higher the user's HP, the higher the power.","Converting its life-force into power, the user attacks opposing Pokémon. The lower the user’s HP, the lower the move’s power."
Dragon Hammer,Dragon,Physical,90,100,15,The user uses its body like a hammer to attack the target and inflict damage.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Dragon Pulse,Dragon,Special,85,100,10,,The target is attacked with a shock wave generated by the user’s gaping mouth.
Dragon Rage,Dragon,Special,—,100,10,Always inflicts 40 HP.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Dragon Rush,Dragon,Physical,100,75,10,May cause flinching.,The user tackles the target while exhibiting overwhelming menace. This may also make the target flinch.
