Name,Level-Up Learnset,TM Learnset,Egg Moves
Fletchinder,"Evolve : Wing Attack,— : Growl,— : Peck,8 : Quick Attack,12 : Ember,16 : Feather Dance,20 : Whirlwind,25 : Flame Wheel,30 : Steel Wing,35 : Air Slash,40 : Agility,45 : Flare Blitz,","TM017 : Protect,TM022 : Aerial Ace,TM027 : Swift,TM030 : Swords Dance,TM032 : Double Team,TM035 : Endure,TM038 : Fire Blast,TM043 : Fly,TM047 : Agility,TM050 : Overheat,TM056 : Double-Edge,TM057 : Will-O-Wisp,TM062 : Flamethrower,TM068 : Heat Wave,TM072 : Fire Spin,TM079 : Hurricane,TM082 : U-turn,TM085 : Substitute,TM094 : Whirlwind,TM104 : Flare Blitz,TM109 : Facade,TM114 : Flame Charge,TM134 : Dual Wingbeat,TM150 : Vacuum Wave,","Defog,Flame Charge,Quick Guard,"
Talonflame,"Evolve : Brave Bird,— : Wing Attack,— : Growl,— : Peck,8 : Quick Attack,12 : Ember,16 : Feather Dance,20 : Whirlwind,25 : Flame Wheel,30 : Steel Wing,35 : Air Slash,40 : Agility,45 : Flare Blitz,","TM011 : Bulk Up,TM017 : Protect,TM022 : Aerial Ace,TM027 : Swift,TM030 : Swords Dance,TM032 : Double Team,TM035 : Endure,TM038 : Fire Blast,TM043 : Fly,TM044 : Hyper Beam,TM047 : Agility,TM050 : Overheat,TM055 : Giga Impact,TM056 : Double-Edge,TM057 : Will-O-Wisp,TM062 : Flamethrower,TM064 : Solar Beam,TM068 : Heat Wave,TM072 : Fire Spin,TM079 : Hurricane,TM082 : U-turn,TM085 : Substitute,TM094 : Whirlwind,TM104 : Flare Blitz,TM109 : Facade,TM114 : Flame Charge,TM133 : Blaze Kick,TM134 : Dual Wingbeat,TM150 : Vacuum Wave,TM153 : Sky Attack,","Defog,Flame Charge,Quick Guard,"
Bunnelby,"— : Tackle,— : Leer,7 : Mud Shot,14 : Quick Attack,24 : Brutal Swing,28 : Dig,32 : Bounce,36 : Take Down,40 : Super Fang,44 : Earthquake,","TM001 : Headbutt,TM004 : Rock Smash,TM010 : Brick Break,TM011 : Bulk Up,TM012 : Rock Slide,TM017 : Protect,TM028 : Dig,TM030 : Swords Dance,TM035 : Endure,TM036 : Rock Tomb,TM046 : Mud Shot,TM047 : Agility,TM052 : Earth Power,TM053 : Sludge Bomb,TM058 : Iron Head,TM065 : Stone Edge,TM069 : Earthquake,TM073 : Surf,TM078 : Bulldoze,TM082 : U-turn,TM085 : Substitute,TM086 : Wild Charge,TM088 : Spikes,TM109 : Facade,",No Egg Moves
Diggersby,"Evolve : Bulldoze,— : Tackle,— : Leer,7 : Mud Shot,14 : Quick Attack,24 : Brutal Swing,28 : Dig,32 : Bounce,36 : Take Down,40 : Super Fang,44 : Earthquake,","TM001 : Headbutt,TM004 : Rock Smash,TM010 : Brick Break,TM011 : Bulk Up,TM012 : Rock Slide,TM017 : Protect,TM023 : Thunder Punch,TM024 : Ice Punch,TM028 : Dig,TM029 : Fire Punch,TM030 : Swords Dance,TM033 : Body Slam,TM035 : Endure,TM036 : Rock Tomb,TM044 : Hyper Beam,TM046 : Mud Shot,TM047 : Agility,TM052 : Earth Power,TM053 : Sludge Bomb,TM055 : Giga Impact,TM058 : Iron Head,TM065 : Stone Edge,TM069 : Earthquake,TM073 : Surf,TM078 : Bulldoze,TM082 : U-turn,TM085 : Substitute,TM086 : Wild Charge,TM088 : Spikes,TM100 : Gunk Shot,TM108 : Comet Punch,TM109 : Facade,TM129 : Circle Throw,TM131 : Drain Punch,TM136 : Scorching Sands,TM146 : Skull Bash,TM154 : Fissure,",No Egg Moves
Scatterbug,"— : Tackle,— : String Shot,7 : Stun Spore,","TM017 : Protect,TM035 : Endure,TM109 : Facade,","Poison Powder,Rage Powder,"
Spewpa,"Evolve : Protect,— : Tackle,— : Poison Powder,— : String Shot,— : Harden,7 : Stun Spore,10 : Infestation,","TM017 : Protect,TM035 : Endure,TM080 : Iron Defense,TM109 : Facade,","Poison Powder,Rage Powder,"
Vivillon,"Evolve : Gust,— : Tackle,— : String Shot,— : Harden,— : Protect,— : Poison Powder,— : Stun Spore,— : Sleep Powder,10 : Infestation,12 : Light Screen,15 : Draining Kiss,17 : Supersonic,21 : Psybeam,25 : U-turn,28 : Air Slash,35 : Bug Buzz,40 : Safeguard,40 : Hurricane,45 : Whirlwind,","TM016 : Light Screen,TM017 : Protect,TM026 : Energy Ball,TM027 : Swift,TM035 : Endure,TM042 : Giga Drain,TM044 : Hyper Beam,TM051 : Safeguard,TM055 : Giga Impact,TM063 : Psychic,TM064 : Solar Beam,TM079 : Hurricane,TM080 : Iron Defense,TM082 : U-turn,TM085 : Substitute,TM092 : Dazzling Gleam,TM094 : Whirlwind,TM109 : Facade,TM117 : Silver Wind,TM119 : Ominous Wind,TM134 : Dual Wingbeat,TM151 : Petal Dance,","Poison Powder,Rage Powder,"
Weedle,"— : Poison Sting,— : String Shot,","TM101 : Electroweb,TM109 : Facade,",No Egg Moves
Kakuna,"— : Poison Sting,— : String Shot,7 : Harden,","TM080 : Iron Defense,TM101 : Electroweb,TM109 : Facade,",No Egg Moves
Beedrill,"Evolve : Pin Missile,— : Poison Sting,— : String Shot,7 : Harden,15 : Focus Energy,20 : Brutal Swing,25 : X-Scissor,27 : Bug Buzz,29 : Toxic Spikes,33 : Lunge,35 : Poison Jab,40 : Drill Run,","TM004 : Rock Smash,TM007 : Toxic,TM010 : Brick Break,TM017 : Protect,TM022 : Aerial Ace,TM030 : Swords Dance,TM035 : Endure,TM042 : Giga Drain,TM044 : Hyper Beam,TM047 : Agility,TM053 : Sludge Bomb,TM055 : Giga Impact,TM064 : Solar Beam,TM077 : Poison Jab,TM080 : Iron Defense,TM081 : X-Scissor,TM082 : U-turn,TM085 : Substitute,TM089 : Toxic Spikes,TM093 : Outrage,TM101 : Electroweb,TM109 : Facade,TM117 : Silver Wind,TM122 : False Swipe,TM132 : Double Hit,TM134 : Dual Wingbeat,",No Egg Moves
Pidgey,"— : Tackle,— : Growl,9 : Gust,13 : Quick Attack,17 : Twister,21 : Wing Attack,25 : Whirlwind,29 : Agility,33 : Air Slash,40 : Feather Dance,45 : Hurricane,50 : Brave Bird,","TM001 : Headbutt,TM017 : Protect,TM022 : Aerial Ace,TM031 : Reflect,TM032 : Double Team,TM035 : Endure,TM043 : Fly,TM047 : Agility,TM068 : Heat Wave,TM079 : Hurricane,TM082 : U-turn,TM085 : Substitute,TM094 : Whirlwind,TM103 : Work Up,TM109 : Facade,TM134 : Dual Wingbeat,",No Egg Moves
Pidgeotto,"— : Tackle,— : Growl,9 : Gust,13 : Quick Attack,17 : Twister,21 : Wing Attack,25 : Whirlwind,29 : Agility,33 : Air Slash,40 : Feather Dance,45 : Hurricane,50 : Brave Bird,","TM001 : Headbutt,TM017 : Protect,TM022 : Aerial Ace,TM031 : Reflect,TM032 : Double Team,TM035 : Endure,TM043 : Fly,TM047 : Agility,TM068 : Heat Wave,TM079 : Hurricane,TM082 : U-turn,TM085 : Substitute,TM094 : Whirlwind,TM103 : Work Up,TM109 : Facade,TM119 : Ominous Wind,TM134 : Dual Wingbeat,TM145 : Razor Wind,TM153 : Sky Attack,",No Egg Moves
Pidgeot,"— : Tackle,— : Growl,9 : Gust,13 : Quick Attack,17 : Twister,21 : Wing Attack,25 : Whirlwind,29 : Agility,33 : Air Slash,40 : Feather Dance,45 : Hurricane,50 : Brave Bird,","TM001 : Headbutt,TM017 : Protect,TM022 : Aerial Ace,TM031 : Reflect,TM032 : Double Team,TM035 : Endure,TM043 : Fly,TM044 : Hyper Beam,TM047 : Agility,TM055 : Giga Impact,TM068 : Heat Wave,TM079 : Hurricane,TM082 : U-turn,TM085 : Substitute,TM094 : Whirlwind,TM103 : Work Up,TM109 : Facade,TM119 : Ominous Wind,TM134 : Dual Wingbeat,TM145 : Razor Wind,TM153 : Sky Attack,",No Egg Moves
Mareep,"— : Tackle,— : Growl,4 : Thunder Shock,8 : Thunder Wave,15 : Charge,17 : Confuse Ray,28 : Cotton Guard,32 : Power Gem,36 : Thunderbolt,40 : Light Screen,45 : Thunder,","TM008 : Thunder Wave,TM016 : Light Screen,TM017 : Protect,TM019 : Power Gem,TM027 : Swift,TM028 : Dig,TM031 : Reflect,TM033 : Body Slam,TM035 : Endure,TM039 : Discharge,TM066 : Volt Switch,TM067 : Thunderbolt,TM085 : Substitute,TM086 : Wild Charge,TM092 : Dazzling Gleam,TM101 : Electroweb,TM106 : Thunder,TM109 : Facade,TM115 : Trailblaze,TM130 : Charge Beam,","Agility,Flatter,After You,Electroweb,Eerie Impulse,Electric Terrain,"
Flaaffy,"— : Tackle,— : Growl,4 : Thunder Shock,8 : Thunder Wave,15 : Charge,17 : Confuse Ray,28 : Cotton Guard,32 : Power Gem,36 : Thunderbolt,40 : Light Screen,45 : Thunder,","TM005 : Roar,TM008 : Thunder Wave,TM016 : Light Screen,TM017 : Protect,TM019 : Power Gem,TM024 : Ice Punch,TM027 : Swift,TM028 : Dig,TM029 : Fire Punch,TM031 : Reflect,TM033 : Body Slam,TM035 : Endure,TM039 : Discharge,TM047 : Agility,TM066 : Volt Switch,TM067 : Thunderbolt,TM085 : Substitute,TM086 : Wild Charge,TM092 : Dazzling Gleam,TM101 : Electroweb,TM106 : Thunder,TM109 : Facade,TM115 : Trailblaze,TM130 : Charge Beam,","Agility,Flatter,After You,Electroweb,Eerie Impulse,Electric Terrain,"
Ampharos,"Evolve : Thunder Punch,— : Eerie Impulse,— : Tackle,— : Growl,4 : Thunder Shock,8 : Thunder Wave,15 : Charge,17 : Confuse Ray,28 : Cotton Guard,32 : Power Gem,36 : Thunderbolt,40 : Light Screen,42 : Breaking Swipe,45 : Thunder,50 : Zap Cannon,","TM005 : Roar,TM008 : Thunder Wave,TM010 : Brick Break,TM016 : Light Screen,TM017 : Protect,TM019 : Power Gem,TM023 : Thunder Punch,TM024 : Ice Punch,TM027 : Swift,TM028 : Dig,TM029 : Fire Punch,TM031 : Reflect,TM033 : Body Slam,TM035 : Endure,TM039 : Discharge,TM044 : Hyper Beam,TM047 : Agility,TM055 : Giga Impact,TM056 : Double-Edge,TM066 : Volt Switch,TM067 : Thunderbolt,TM075 : Dragon Pulse,TM084 : Flash Cannon,TM085 : Substitute,TM086 : Wild Charge,TM092 : Dazzling Gleam,TM093 : Outrage,TM101 : Electroweb,TM102 : Focus Blast,TM106 : Thunder,TM108 : Comet Punch,TM109 : Facade,TM115 : Trailblaze,TM130 : Charge Beam,TM135 : Dual Chop,TM156 : Meteor Beam,","Agility,Flatter,After You,Electroweb,Eerie Impulse,Electric Terrain,"
Patrat,"— : Tackle,3 : Leer,6 : Bite,11 : Detect,16 : Crunch,18 : Hypnosis,21 : Super Fang,26 : Focus Energy,28 : Work Up,33 : Nasty Plot,","TM007 : Toxic,TM017 : Protect,TM025 : Crunch,TM028 : Dig,TM030 : Swords Dance,TM032 : Double Team,TM035 : Endure,TM040 : Bullet Seed,TM046 : Mud Shot,TM059 : Zen Headbutt,TM067 : Thunderbolt,TM074 : Shadow Ball,TM083 : Nasty Plot,TM085 : Substitute,TM100 : Gunk Shot,TM103 : Work Up,TM109 : Facade,TM128 : Seed Bomb,",No Egg Moves
Watchog,"Evolve : Confuse Ray,— : Tackle,3 : Leer,6 : Bite,11 : Detect,16 : Crunch,18 : Hypnosis,21 : Super Fang,26 : Focus Energy,28 : Work Up,33 : Nasty Plot,40 : Iron Tail,46 : Take Down,50 : Double-Edge,","TM004 : Rock Smash,TM007 : Toxic,TM008 : Thunder Wave,TM016 : Light Screen,TM017 : Protect,TM018 : Power-Up Punch,TM023 : Thunder Punch,TM024 : Ice Punch,TM025 : Crunch,TM027 : Swift,TM028 : Dig,TM029 : Fire Punch,TM030 : Swords Dance,TM032 : Double Team,TM035 : Endure,TM040 : Bullet Seed,TM044 : Hyper Beam,TM046 : Mud Shot,TM055 : Giga Impact,TM056 : Double-Edge,TM059 : Zen Headbutt,TM062 : Flamethrower,TM067 : Thunderbolt,TM074 : Shadow Ball,TM083 : Nasty Plot,TM085 : Substitute,TM087 : Iron Tail,TM100 : Gunk Shot,TM103 : Work Up,TM109 : Facade,TM128 : Seed Bomb,TM146 : Skull Bash,",No Egg Moves
Budew,"— : Absorb,— : Growth,— : Stun Spore,— : Charm,","TM017 : Protect,TM026 : Energy Ball,TM027 : Swift,TM030 : Swords Dance,TM033 : Body Slam,TM035 : Endure,TM040 : Bullet Seed,TM046 : Mud Shot,TM053 : Sludge Bomb,TM064 : Solar Beam,TM074 : Shadow Ball,TM085 : Substitute,TM088 : Spikes,TM092 : Dazzling Gleam,TM109 : Facade,TM128 : Seed Bomb,",No Egg Moves
Roselia,"Evolve : Poison Sting,— : Absorb,— : Growth,— : Stun Spore,— : Charm,5 : Razor Leaf,8 : Pin Missile,10 : Leech Seed,15 : Magical Leaf,18 : Sleep Powder,22 : Toxic Spikes,30 : Giga Drain,33 : Poison Jab,37 : Synthesis,44 : Toxic,55 : Leaf Storm,","TM007 : Toxic,TM017 : Protect,TM026 : Energy Ball,TM027 : Swift,TM030 : Swords Dance,TM033 : Body Slam,TM035 : Endure,TM040 : Bullet Seed,TM042 : Giga Drain,TM046 : Mud Shot,TM053 : Sludge Bomb,TM064 : Solar Beam,TM074 : Shadow Ball,TM077 : Poison Jab,TM085 : Substitute,TM088 : Spikes,TM089 : Toxic Spikes,TM092 : Dazzling Gleam,TM109 : Facade,TM128 : Seed Bomb,TM151 : Petal Dance,",No Egg Moves
Roserade,"— : Poison Sting,— : Mortal Spin,— : Absorb,— : Growth,— : Stun Spore,— : Charm,5 : Razor Leaf,8 : Pin Missile,10 : Leech Seed,15 : Magical Leaf,18 : Sleep Powder,22 : Toxic Spikes,30 : Giga Drain,34 : Poison Jab,37 : Synthesis,44 : Toxic,55 : Leaf Storm,","TM007 : Toxic,TM017 : Protect,TM026 : Energy Ball,TM027 : Swift,TM030 : Swords Dance,TM033 : Body Slam,TM035 : Endure,TM040 : Bullet Seed,TM042 : Giga Drain,TM044 : Hyper Beam,TM046 : Mud Shot,TM053 : Sludge Bomb,TM055 : Giga Impact,TM064 : Solar Beam,TM074 : Shadow Ball,TM077 : Poison Jab,TM085 : Substitute,TM088 : Spikes,TM089 : Toxic Spikes,TM092 : Dazzling Gleam,TM109 : Facade,TM128 : Seed Bomb,TM145 : Razor Wind,TM151 : Petal Dance,",No Egg Moves
Magikarp,"— : Splash,15 : Tackle,","TM096 : Hydro Pump,TM109 : Facade,",No Egg Moves
Gyarados,"Evolve : Bite,— : Water Gun,— : Whirlpool,— : Tackle,— : Leer,— : Splash,— : Twister,24 : Waterfall,30 : Crunch,33 : Iron Head,40 : Bounce,44 : Hurricane,45 : Dragon Rush,50 : Hydro Pump,55 : Hyper Beam,","TM005 : Roar,TM008 : Thunder Wave,TM013 : Ice Beam,TM015 : Ice Fang,TM017 : Protect,TM025 : Crunch,TM033 : Body Slam,TM035 : Endure,TM038 : Fire Blast,TM041 : Water Pulse,TM044 : Hyper Beam,TM049 : Icy Wind,TM055 : Giga Impact,TM056 : Double-Edge,TM058 : Iron Head,TM062 : Flamethrower,TM065 : Stone Edge,TM067 : Thunderbolt,TM069 : Earthquake,TM070 : Whirlpool,TM073 : Surf,TM075 : Dragon Pulse,TM078 : Bulldoze,TM079 : Hurricane,TM085 : Substitute,TM087 : Iron Tail,TM090 : Dark Pulse,TM093 : Outrage,TM095 : Taunt,TM096 : Hydro Pump,TM098 : Waterfall,TM105 : Blizzard,TM106 : Thunder,TM109 : Facade,TM110 : Chilling Water,TM139 : Swagger,TM140 : Muddy Water,TM143 : Scale Shot,TM146 : Skull Bash,TM148 : Scald,",No Egg Moves
Binacle,"— : Water Gun,— : Screech,9 : Infestation,12 : Rock Throw,14 : Bubble Beam,16 : Rock Blast,18 : Bulldoze,23 : Slash,35 : Iron Defense,40 : Night Slash,45 : Liquidation,50 : Stone Edge,","TM010 : Brick Break,TM012 : Rock Slide,TM013 : Ice Beam,TM017 : Protect,TM018 : Power-Up Punch,TM028 : Dig,TM030 : Swords Dance,TM034 : Night Slash,TM035 : Endure,TM036 : Rock Tomb,TM037 : Stealth Rock,TM046 : Mud Shot,TM051 : Safeguard,TM053 : Sludge Bomb,TM061 : Shadow Claw,TM065 : Stone Edge,TM069 : Earthquake,TM073 : Surf,TM076 : Liquidation,TM077 : Poison Jab,TM078 : Bulldoze,TM080 : Iron Defense,TM081 : X-Scissor,TM085 : Substitute,TM095 : Taunt,TM098 : Waterfall,TM105 : Blizzard,TM109 : Facade,TM120 : Ancient Power,TM122 : False Swipe,TM148 : Scald,",No Egg Moves
