No.,Name,Image,Game8 Link,Type,Abilities
19,Scyther,https://j-img.game8.co/2216314/ad08bcd9884abf12b9a3826f946f6b80.png/show?1540444222,https://game8.co/games/Pokemon-Scarlet-Violet/archives/388952,Bug&Flying,Swarm&Technician&Steadfast
20,Scizor,https://j-img.game8.co/2216431/230cd940ac43d386bbd1037c96f10105.png/show?1540444327,https://game8.co/games/Pokemon-Scarlet-Violet/archives/388207,Bug&Steel,Swarm&Technician&Light Metal
21,Kleavor,https://j-img.game8.co/6538309/1d17b7e93ec6b710b579293a8985cf5a.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/395854,Bug&Rock,Swarm&Sheer Force&Sharpness
22,Tauros,https://j-img.game8.co/2216319/362e1dca2e823f52b2456084692a804f.png/show?1540444222,https://game8.co/games/Pokemon-Scarlet-Violet/archives/413501,Normal,Intimidate&Anger Point&Sheer Force
23,Blitzle,https://j-img.game8.co/6064762/13ff74e85163b0d6a6aba00a7d473b02.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/406183,Electric,Lightning Rod&Motor Drive&Sap Sipper
24,Zebstrika,https://j-img.game8.co/6064812/e5c0c063232ede4e8a627b2e48341f0d.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/406184,Electric,Lightning Rod&Motor Drive&Sap Sipper
25,Girafarig,https://j-img.game8.co/2216378/2f2b433042747bbd3334c6f920b2a495.png/show?1540444326,https://game8.co/games/Pokemon-Scarlet-Violet/archives/388227,Normal&Psychic,Inner Focus&Early Bird&Sap Sipper
26,Farigiraf,https://j-img.game8.co/7641783/eecafd5cdc0065b389ea1eaeef0faad6.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/393210,Normal&Psychic,Cud Chew&Armor Tail&Sap Sipper
27,Sandile,https://j-img.game8.co/2217513/ca77dced8ed1e980bacf05c8726700e0.png/show?1540449214,https://game8.co/games/Pokemon-Scarlet-Violet/archives/393533,Ground&Dark,Intimidate&Moxie&Anger Point
28,Krokorok,https://j-img.game8.co/2217524/dfe9857059456183fd978ccd2a7d1c52.png/show?1540449214,https://game8.co/games/Pokemon-Scarlet-Violet/archives/393534,Ground&Dark,Intimidate&Moxie&Anger Point
29,Krookodile,https://j-img.game8.co/2217523/e6828bec93fdffcdecc39b2078294998.png/show?1540449214,https://game8.co/games/Pokemon-Scarlet-Violet/archives/396858,Ground&Dark,Intimidate&Moxie&Anger Point
30,Rellor,https://j-img.game8.co/7641781/69b40d53361f9d301cb3d05069ed2f5a.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/396925,Bug,Compound Eyes&Shed Skin
31,Rabsca,https://j-img.game8.co/7641768/6ca4c922100c2ca0d671ada162805d08.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/396874,Bug&Psychic,Synchronize&Telepathy
32,Rufflet,https://j-img.game8.co/4507562/1617041743328b07aec3980d405b8428.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/396789,Normal&Flying,Keen Eye&Sheer Force&Defiant
33,Braviary,https://j-img.game8.co/4507537/14aaf165e7abb6a25ec50bc6f81eb1bf.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/396752,Normal&Flying,Keen Eye&Sheer Force&Defiant
34,Vullaby,https://img.game8.co/3397622/f3cf027c4665bca0104a9d850aa400eb.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/420939,Dark&Flying,Big Pecks&Overcoat&Weak Armor
35,Mandibuzz,https://img.game8.co/3397613/9f687d3972da5684aa1575e0c1cbf072.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/420940,Dark&Flying,Big Pecks&Overcoat&Weak Armor
36,Litleo,https://j-img.game8.co/2217703/508c4365c95060c1b930c77cd43be340.png/show?1540450165,https://game8.co/games/Pokemon-Scarlet-Violet/archives/393535,Fire&Normal,Rivalry&Unnerve&Moxie
37,Pyroar,https://j-img.game8.co/2217734/47b7b360f3cfada5fde6dd58780a8ec4.png/show?1540450165,https://game8.co/games/Pokemon-Scarlet-Violet/archives/395489,Fire&Normal,Rivalry&Unnerve&Moxie
38,Deerling,https://j-img.game8.co/2217473/c7b3c9ff0b042d46c33d5ee76a975435.png/show?1540449214,https://game8.co/games/Pokemon-Scarlet-Violet/archives/388235,Normal&Grass,Chlorophyll&Sap Sipper&Serene Grace
39,Sawsbuck,https://j-img.game8.co/2217452/207a17d2bd91a67f9f7f4ac3ced060ce.png/show?1540449213,https://game8.co/games/Pokemon-Scarlet-Violet/archives/388234,Normal&Grass,Chlorophyll&Sap Sipper&Serene Grace
40,Smeargle,https://j-img.game8.co/2216424/96b30c1abf40c243a5f79a422a14341c.png/show?1540444328,https://game8.co/games/Pokemon-Scarlet-Violet/archives/421492,Normal,Own Tempo&Technician&Moody
41,Rotom,https://j-img.game8.co/2216678/41a3fac2e82cff11cc1c38b3f96cbeae.png/show?1540444735,https://game8.co/games/Pokemon-Scarlet-Violet/archives/388180,Electric&Ghost,Levitate
42,Milcery,https://j-img.game8.co/6065354/7734999612374633f70d8c7ecb84ecff.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/406185,Fairy,Sweet Veil&Aroma Veil
43,Alcremie,https://j-img.game8.co/6065349/5f91351ef187798a2b5da7580ec58f92.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/406186,Fairy,Sweet Veil&Aroma Veil
44,Trapinch,https://img.game8.co/3396959/3bdb5c586850f8fbb77bfe8ad7786b9e.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/416166,Ground,Hyper Cutter&Arena Trap&Sheer Force
45,Vibrava,https://img.game8.co/3396958/bbe4c2dfb5ee8674c79c2e1cacf21015.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/416165,Ground&Dragon,Levitate
46,Flygon,https://img.game8.co/3396957/b3f6f3e540f759b44485db55888e3620.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/416164,Ground&Dragon,Levitate
47,Pikipek,https://j-img.game8.co/2217807/0e55aaf77a5ba346ba2ed10ab4d2fa45.png/show?1540450839,https://game8.co/games/Pokemon-Scarlet-Violet/archives/420952,Normal&Flying,Keen Eye&Skill Link&Pickup
48,Trumbeak,https://j-img.game8.co/2217799/644f5888afe730e9f2e0f3a9e95bd1f7.png/show?1540450839,https://game8.co/games/Pokemon-Scarlet-Violet/archives/420953,Normal&Flying,Keen Eye&Skill Link&Pickup
49,Toucannon,https://j-img.game8.co/2217811/06d8d967875a1862ff5574778e6a7d91.png/show?1540450839,https://game8.co/games/Pokemon-Scarlet-Violet/archives/420954,Normal&Flying,Keen Eye&Skill Link&Sheer Force
50,Tentacool,https://img.game8.co/3396404/d0d90a58e1033d0b71b14733d4d21c85.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/436917,Water&Poison,Clear Body&Liquid Ooze&Rain Dish
51,Tentacruel,https://img.game8.co/3396405/80b71229308db78390a279a195802a44.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/436918,Water&Poison,Clear Body&Liquid Ooze&Rain Dish
52,Horsea,https://j-img.game8.co/2216312/969a4cbf1d9df1d6301ff9c278b799cf.png/show?1540444221,https://game8.co/games/Pokemon-Scarlet-Violet/archives/420925,Water,Swift Swim&Sniper&Damp
53,Seadra,https://j-img.game8.co/2216300/269e39e5215025427dbc99737a9ae05a.png/show?1540444221,https://game8.co/games/Pokemon-Scarlet-Violet/archives/420926,Water,Poison Point&Sniper&Damp
54,Kingdra,https://j-img.game8.co/2216420/c673ab513429837001d3cc456aee0c7a.png/show?1540444327,https://game8.co/games/Pokemon-Scarlet-Violet/archives/420927,Water&Dragon,Swift Swim&Sniper&Damp
55,Bruxish,https://j-img.game8.co/2217847/d4f247762e00ce81adad20153307d9c5.png/show?1540450839,https://game8.co/games/Pokemon-Scarlet-Violet/archives/396935,Water&Psychic,Dazzling&Strong Jaw&Wonder Skin
56,Cottonee,https://j-img.game8.co/6064871/e5f6409a0153add43a209d058efc7e8a.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/406181,Grass&Fairy,Prankster&Infiltrator&Chlorophyll
57,Whimsicott,https://j-img.game8.co/6064892/8b408be3c48ace17c1dfb91b9baa1502.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/406182,Grass&Fairy,Prankster&Infiltrator&Chlorophyll
58,Comfey,https://img.game8.co/3397654/8fb09e761c44b0d6b4de24e52ed4dcea.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/436915,Fairy,Flower Veil&Triage&Natural Cure
59,Slakoth,https://j-img.game8.co/2216472/c3abb9a75b34904cb366e13871813855.png/show?1540444401,https://game8.co/games/Pokemon-Scarlet-Violet/archives/394407,Normal,Truant
60,Vigoroth,https://j-img.game8.co/2216491/420e9c1331c2cdabf71a17310f9559fd.png/show?1540444401,https://game8.co/games/Pokemon-Scarlet-Violet/archives/388221,Normal,Vital Spirit
61,Slaking,https://j-img.game8.co/2216521/3419cb0be77f8475c6bec6dc3f2166be.png/show?1540444402,https://game8.co/games/Pokemon-Scarlet-Violet/archives/388220,Normal,Truant
62,Oddish,https://j-img.game8.co/2216172/c961e29acf28474bd278ff6166ba56b6.png/show?1540444218,https://game8.co/games/Pokemon-Scarlet-Violet/archives/420945,Grass&Poison,Chlorophyll&Run Away
63,Gloom,https://j-img.game8.co/2216199/a1355c3fac56f1354edad23c1828b846.png/show?1540444218,https://game8.co/games/Pokemon-Scarlet-Violet/archives/420946,Grass&Poison,Chlorophyll&Stench
64,Vileplume,https://j-img.game8.co/2216233/548ba27cb7c0dfde0577d8f261d7c54f.png/show?1540444219,https://game8.co/games/Pokemon-Scarlet-Violet/archives/420947,Grass&Poison,Chlorophyll&Effect Spore
65,Bellossom,https://j-img.game8.co/2216395/0c965dc3119b0348b807bafabea08a6f.png/show?1540444327,https://game8.co/games/Pokemon-Scarlet-Violet/archives/420948,Grass,Chlorophyll&Healer
66,Alolan Diglett,https://img.game8.co/3397590/8cfceb12d73bf98c03b515e22ca5ed8b.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/413489,Ground&Steel,Sand Veil&Tangling Hair&Sand Force
67,Alolan Dugtrio,https://img.game8.co/3397593/fb70cb71578f405ee36ae14d1860c7e9.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/413490,Ground&Steel,Sand Veil&Tangling Hair&Sand Force
68,Alolan Grimer,https://img.game8.co/3565475/c13869a9402a4bcc9cb6730f4dfbd6ef.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/413497,Poison&Dark,Poison Touch&Gluttony&Power of Alchemy
69,Alolan Muk,https://img.game8.co/3565474/063050fcb378cdbb1a42c2fb92af3951.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/413498,Poison&Dark,Poison Touch&Gluttony&Power of Alchemy
70,Zangoose,https://j-img.game8.co/2216581/4ee934f7bd3a43c315ee538116218c43.png/show?1540444403,https://game8.co/games/Pokemon-Scarlet-Violet/archives/393524,Normal,Immunity&Toxic Boost
71,Seviper,https://j-img.game8.co/2216609/8a0f612e77d00b55b217a3e70b2cf78d.png/show?1540444404,https://game8.co/games/Pokemon-Scarlet-Violet/archives/388271,Poison,Shed Skin&Infiltrator
72,Crabrawler,https://j-img.game8.co/2217862/9ede342132452e34d6ea9ce28a8f061a.png/show?1540450839,https://game8.co/games/Pokemon-Scarlet-Violet/archives/397054,Fighting,Hyper Cutter&Iron Fist&Anger Point
73,Crabominable,https://j-img.game8.co/2217860/c16854ae5a0e8787af75e90693da1987.png/show?1540450839,https://game8.co/games/Pokemon-Scarlet-Violet/archives/397033,Fighting&Ice,Hyper Cutter&Iron Fist&Anger Point
74,Oricorio (Pa'u Style),https://j-img.game8.co/2217825/f08c41c7b5f30c3494ab5e325b18eed5.png/show?1540450839,https://game8.co/games/Pokemon-Scarlet-Violet/archives/388398,Psychic&Flying,Dancer
75,Galarian Slowpoke,https://img.game8.co/3397171/e51ffea2ca65d6e722c7f9c8704f88be.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/413495,Psychic,Gluttony&Own Tempo
76,Galarian Slowbro,https://img.game8.co/3397176/6421a8eebb633a24556f46faff226f0e.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/413496,Poison&Psychic,Quick Draw&Own Tempo
77,Galarian Slowking,https://img.game8.co/3397177/403de902d7b1567369e4708d88b6d0a2.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/413511,Poison&Psychic,Curious Medicine&Own Tempo
78,Chinchou,https://j-img.game8.co/2216362/b83a7d998d15c2946de6ee34efdd6337.png/show?1540444326,https://game8.co/games/Pokemon-Scarlet-Violet/archives/436921,Water&Electric,Volt Absorb&Illuminate&Water Absorb
79,Lanturn,https://j-img.game8.co/2216361/4dbdc7174bd4d11941412f5be50c0680.png/show?1540444326,https://game8.co/games/Pokemon-Scarlet-Violet/archives/436922,Water&Electric,Volt Absorb&Illuminate&Water Absorb
80,Inkay,https://img.game8.co/3397045/a02f68b0feba37c7df3eb8c905cd207c.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/420931,Dark&Psychic,Contrary&Suction Cups&Infiltrator
81,Malamar,https://img.game8.co/3397044/40c21d91ab266351fd4def0b2af39e61.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/420932,Dark&Psychic,Contrary&Suction Cups&Infiltrator
82,Luvdisc,https://j-img.game8.co/2216580/7d93c64bc2dfa6b4acbbbdc006537b30.png/show?1540444403,https://game8.co/games/Pokemon-Scarlet-Violet/archives/396940,Water,Swift Swim&Hydration
83,Finneon,https://j-img.game8.co/2216748/49fae31009f26c81465c1d09ebc3d4a5.png/show?1540444736,https://game8.co/games/Pokemon-Scarlet-Violet/archives/394495,Water,Swift Swim&Storm Drain&Water Veil
84,Lumineon,https://j-img.game8.co/2216741/dab9b3a1c5bfda991e871a927563f442.png/show?1540444736,https://game8.co/games/Pokemon-Scarlet-Violet/archives/388191,Water,Swift Swim&Storm Drain&Water Veil
85,Alomomola,https://j-img.game8.co/2217456/feb6806297f244174f294e5ec8cb4a9d.png/show?1540449213,https://game8.co/games/Pokemon-Scarlet-Violet/archives/396928,Water,Healer&Hydration&Regenerator
86,Torkoal,https://j-img.game8.co/2216576/0f2f4d3f2f9e57441040c7d90c3e28db.png/show?1540444403,https://game8.co/games/Pokemon-Scarlet-Violet/archives/388371,Fire,White Smoke&Drought&Shell Armor
87,Fletchling,https://j-img.game8.co/2217673/568006baadb7876d73a733bca3970d18.png/show?1540450165,https://game8.co/games/Pokemon-Scarlet-Violet/archives/388255,Normal&Flying,Big Pecks&Gale Wings
88,Fletchinder,https://j-img.game8.co/2217678/92d640f9ba6d2987a72e7637813cf4e7.png/show?1540450165,https://game8.co/games/Pokemon-Scarlet-Violet/archives/394501,Fire&Flying,Flame Body&Gale Wings
89,Talonflame,https://j-img.game8.co/2217676/56931d380dfe2f2e0188119fc5ef58b2.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/388243,Fire&Flying,Flame Body&Gale Wings
90,Dewpider,https://img.game8.co/3397600/b01e656e77c2edb6a7a64bddd4c71d36.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/436913,Water&Bug,Water Bubble&Water Absorb
91,Araquanid,https://img.game8.co/3397598/546fe3f79a6c3d34429ee8e82abca293.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/436914,Water&Bug,Water Bubble&Water Absorb
92,Tyrogue,https://j-img.game8.co/2216450/c9d7dbe4afb69e559e3d55cd049915b9.png/show?1540444328,https://game8.co/games/Pokemon-Scarlet-Violet/archives/420958,Fighting,Guts&Steadfast&Vital Spirit
93,Hitmonlee,https://j-img.game8.co/2216280/80dc5be01f2ef269e9cc5fbdccde2335.png/show?1540444220,https://game8.co/games/Pokemon-Scarlet-Violet/archives/420960,Fighting,Limber&Reckless&Unburden
94,Hitmonchan,https://j-img.game8.co/2216284/c8da3245b8a74b90c17b782542c141f1.png/show?1540444220,https://game8.co/games/Pokemon-Scarlet-Violet/archives/420959,Fighting,Keen Eye&Iron Fist&Inner Focus
95,Hitmontop,https://j-img.game8.co/2216452/846c910813ab982651a9415e035bc485.png/show?1540444328,https://game8.co/games/Pokemon-Scarlet-Violet/archives/420961,Fighting,Intimidate&Technician&Steadfast
96,Alolan Geodude,https://img.game8.co/3565609/0a5acc42f44143693e94eb402fdddae6.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/420955,Rock&Electric,Magnet Pull&Sturdy&Galvanize
97,Alolan Graveler,https://img.game8.co/3565610/e4b61d7211759a554fdc2de18252863d.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/420956,Rock&Electric,Magnet Pull&Sturdy&Galvanize
98,Alolan Golem,https://img.game8.co/3565611/7327050f09006e604ef366a6d0c78894.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/420957,Rock&Electric,Magnet Pull&Sturdy&Galvanize
99,Drilbur,https://img.game8.co/3397342/6b8d480b2cfd9590aa37040dbadccf3f.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/436909,Ground,Sand Rush&Sand Force&Mold Breaker
100,Excadrill,https://img.game8.co/3397331/31da45e7f9285914fcf2e650ef166810.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/436910,Ground&Steel,Sand Rush&Sand Force&Mold Breaker
101,Gothita,https://j-img.game8.co/4507431/623fbb1e79c4516a33afa0f96632452c.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/397128,Psychic,Frisk&Competitive&Shadow Tag
102,Gothorita,https://j-img.game8.co/4507446/9b8a7c0d0aa8e685137d6587d7870def.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/397127,Psychic,Frisk&Competitive&Shadow Tag
103,Gothitelle,https://j-img.game8.co/4507524/979760183befb0fab0f835387f6accba.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/396889,Psychic,Frisk&Competitive&Shadow Tag
104,Espurr,https://j-img.game8.co/6065012/fcbaec0abbdb8fa9a2d40d735945c02e.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/406190,Psychic,Keen Eye&Infiltrator&Own Tempo
105,Meowstic (Male),https://j-img.game8.co/2217725/892f174a8ae5189f85f45a1f0218da67.png/show?1540450165,https://game8.co/games/Pokemon-Scarlet-Violet/archives/406192,Psychic,Keen Eye&Infiltrator&Prankster
105.1,Meowstic (Female),https://j-img.game8.co/2217698/ed3f6d53363fb9e813ab70b91a3cc6a3.png/show?1540450165,https://game8.co/games/Pokemon-Scarlet-Violet/archives/406192,Psychic,Keen Eye&Infiltrator&Competitive
106,Minior (Meteor Form),https://j-img.game8.co/2217856/4594bbd88cf92e0c8ca70cc769215681.png/show?1540450839,https://game8.co/games/Pokemon-Scarlet-Violet/archives/436916,Rock&Flying,Shields Down
106.1,Minior (Core),https://img.game8.co/3565897/047fde6b5060f27aef25d9fcc0d6c0b1.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/436916,Rock&Flying,Shields Down
107,Cranidos,https://img.game8.co/3559673/09bca7a76451d2467cf7e603f722dd23.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/420941,Rock,Mold Breaker&Sheer Force
108,Rampardos,https://img.game8.co/3412313/99c8006eeadcf4ee7df640603376a703.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/420942,Rock,Mold Breaker&Sheer Force
109,Shieldon,https://img.game8.co/3412310/f66ffd0250f2037d17cb0e53643b569a.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/420943,Rock&Steel,Sturdy&Soundproof
110,Bastiodon,https://img.game8.co/3412314/570f999027887288ec34a8b77a8f17cc.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/420944,Rock&Steel,Sturdy&Soundproof
111,Minccino,https://img.game8.co/3397338/8d8954ab5e1a4cf99d56c0b20c9efee9.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/416176,Normal,Cute Charm&Technician&Skill Link
112,Cinccino,https://img.game8.co/3397335/e01dccb339a074eae31dcc42c923f8e7.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/416175,Normal,Cute Charm&Technician&Skill Link
113,Skarmory,https://j-img.game8.co/2216413/959a96c410d29949a34eff08a027e7e4.png/show?1540444327,https://game8.co/games/Pokemon-Scarlet-Violet/archives/420938,Steel&Flying,Keen Eye&Sturdy&Weak Armor
114,Swablu,https://j-img.game8.co/2216496/b8a19a35218fef3df13563906532d39d.png/show?1540444401,https://game8.co/games/Pokemon-Scarlet-Violet/archives/388275,Normal&Flying,Natural Cure&Cloud Nine
115,Altaria,https://j-img.game8.co/2216560/ff7a90363a123415c7d7211ecd512d4e.png/show?1540444403,https://game8.co/games/Pokemon-Scarlet-Violet/archives/388204,Dragon&Flying,Natural Cure&Cloud Nine
116,Magnemite,https://j-img.game8.co/4515223/007bc9041fbcfb59702b6ed3c81a709c.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/388278,Electric&Steel,Magnet Pull&Sturdy&Analytic
117,Magneton,https://j-img.game8.co/4515227/0132709dfe19020bfd464792c3ad8b48.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/394482,Electric&Steel,Magnet Pull&Sturdy&Analytic
118,Magnezone,https://j-img.game8.co/3930112/762e15befec4b05b19f88db0c6d6f613.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/388169,Electric&Steel,Magnet Pull&Sturdy&Analytic
119,Plusle,https://j-img.game8.co/2216486/10a0ba4453d95ab7da25eac53e589123.png/show?1540444401,https://game8.co/games/Pokemon-Scarlet-Violet/archives/436908,Electric,Plus&Lightning Rod
120,Minun,https://j-img.game8.co/2216483/c2a0bafa59d95c7ab41b2a44ab7640e3.png/show?1540444401,https://game8.co/games/Pokemon-Scarlet-Violet/archives/436907,Electric,Minus&Volt Absorb
121,Scraggy,https://img.game8.co/3397465/e615aed38f43a6b310c7c2f561f4acf6.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/436911,Dark&Fighting,Shed Skin&Moxie&Intimidate
122,Scrafty,https://img.game8.co/3397469/23193f3387a62c019271acfd23f288bf.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/436912,Dark&Fighting,Shed Skin&Moxie&Intimidate
123,Golett,https://img.game8.co/3397347/6c4215ccc409b996f48afb53eab8dc1b.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/416174,Ground&Ghost,Iron Fist&Klutz&No Guard
124,Golurk,https://img.game8.co/3397350/adc1d7a7fb220ec5f8a4c665afee6b46.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/416173,Ground&Ghost,Iron Fist&Klutz&No Guard
125,Numel,https://j-img.game8.co/2216527/fa580a38913d79abe0b296dc61185b9f.png/show?1540444402,https://game8.co/games/Pokemon-Scarlet-Violet/archives/393905,Fire&Ground,Oblivious&Simple&Own Tempo
126,Camerupt,https://j-img.game8.co/2216571/2c48db6f05b148beefb513e955926096.png/show?1540444403,https://game8.co/games/Pokemon-Scarlet-Violet/archives/397000,Fire&Ground,Magma Armor&Solid Rock&Anger Point
127,Sinistea,https://j-img.game8.co/4508639/4aab1ee703479a414b7cd1d8f738c8f3.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/388183,Ghost,Weak Armor&Cursed Body
128,Polteageist,https://j-img.game8.co/4508621/eea1815f74af796c7c416f38b07304c3.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/388182,Ghost,Weak Armor&Cursed Body
129,Porygon,https://img.game8.co/3396439/009862acfd6a2961f5bdac6a78125809.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/436926,Normal,Trace&Download&Analytic
